survey,density,depth_cv,anisotropy
RC_04_HAT_20220821_CS,0.027299035151601696,0.3652872,0.9142250568149811
LB_17_ROC_20251125_CS_TBASIN,0.00025414379002897553,6.8140936,0.44861292284870075
TT_01_DEM_20250930_CS_31,0.9358161679731454,0.17090803,0.47745246754685633
LB_10_FPT_20240913_OT_EASTWALL,0.03129876068977077,3.6120968,0.9188550362670111
LB_06_BUF_20241002_OT_OLDBREAKWALL,0.4637837213816816,0.44149825,0.9947595522400411
LB_17_ROC_20241106_OT_110TO165BREAKWALLS,0.24828827244592777,0.39573476,0.9662740290126274
LB_08_BRC_20240720_CS_698TO710,0.1054086115637757,0.09675603,0.004503206239498184
IN_10_LFI_20240213_BD,0.0023661060604085408,1.6384748,0.8317344559114008
IN_10_LFI_20230323_CS,0.0067518485466848506,0.8340798,0.22412878612643114
LB_36_BAR_20250325_CS_ALL,0.00038828914915952246,2.511372,0.9081029665137047
LB_07_BFR_20250506_OT_275TO288SOUTHWALL,0.8434550930757871,0.25484902,0.9292625557104859
PA_03_MOD_20230411_CS,0.003229494108078903,0.0726171,0.27779396726338795
LB_15_VER_20240806_AD_017TO047AND00ATO09A,0.2959203258080896,0.16680944,0.5255531800151273
LB_02_ASH_20240422_OT_SUBMERGEDWALL,0.1508089870219986,0.6245087,0.7932788018139206
LB_13_ERI_20240624_AD_032TO054,0.09421913883708882,0.09575246,0.5434335219100482
LB_06_BUF_20241008_OT_NORTHBREAKWALL,0.34096156942774275,0.48939827,0.8549541744369386
IN_11_SLT_20211209_CS,0.010681624178577088,0.9397247,0.8327280265633866
LB_03_TOL_20250508_CS_1200TO1305,0.10808861600094993,0.0719521,0.9922763228544573
LB_15_VER_20240625_BD_ALL,0.21578186708571384,0.33268332,0.535255345900593
BH_04_TCE_20240801_CS,0.03131213784143382,0.4596086,0.5254000940332294
BH_06_TCR_20210304_CS,0.07869741010976797,0.73082936,0.8137430282556777
MC_03_RGA_20210628_AD,0.023887958156822486,0.02976659,0.6312916925637626
IN_10_LFI_20230821_CS,0.005519128096224589,0.50049424,0.04979578394276723
WH_11_HSS_20220321_AD,0.0041918198074429695,0.016337378,0.9984463653616906
LB_02_ASH_20250702_BD_099TO146,0.1530141596681252,0.16653083,0.7943724337386061
LB_03_TOL_20240724_CS_715TO928,0.21300791773773178,0.09312764,0.9988864884602336
WH_25_ANC_20241008_BD,0.04962353688171927,0.2955749,0.21167719561332146
LB_06_BUF_20240930_OT_NORTHBREAKWALLABOVE,0.1220297574445736,0.45575958,0.9941066756894091
LB_02_ASH_20250805_AD_003ATO022A,0.10160779128873393,0.16358323,0.2802673184567753
LB_03_TOL_20250709_CS_000TO025,0.07030732675233965,0.18750642,0.8042725113928321
LB_01_WSH_20240522_CS_ALL,0.00014104207845425193,0.6382367,0.7049205446681281
LB_31_TOU_20241029_CS_ALL,0.0037593096495801143,0.6733217,0.9934232382370645
IN_10_LFI_20210629_CS,0.007372810278825251,0.967083,0.4609106280587888
SH_12_CBS_20240208_BD,0.0026889591039287487,1.3250678,0.7462401635135052
SH_15_MON_20211214_CS,0.07268270939801283,0.5242819,0.9961732645911004
IN_07_MAS_20251029_CS,0.007156116142501295,0.49271873,0.3183092216275459
PA_01_MNW_20210729_CS,0.003686808159037686,0.29974708,0.7134857438290994
MC_03_RGA_20220815_AD,0.04278414174294872,0.1795394,0.4258970509360244
LB_06_BUF_20241007_OT_SOUTHBREAKWALL1,0.3760617013829424,0.44789732,0.9991155449279874
PA_04_WOD_20250519_CS,0.004632708213035004,0.0718542,0.055047373601310484
LB_33_OGB_20231031_CS_021ATO056AAND000BTO036B,0.08101179316321813,0.37039375,0.5133169508609551
IA_06_RGH_20210407_CS,0.053536744306167755,0.09612271,0.9952440312585163
LB_17_ROC_20241118_OT_BREAKWALLSTURNINGBASIN,0.10764472080207096,0.73297906,0.9799976174364439
IN_05_TCC_20251212_AD,0.040835917372698025,0.47675323,0.7265897445808023
LB_18_OSW_20241104_OT_WESTWALL,0.28933408088293233,0.34445643,0.9224046770764504
LB_06_BUF_20241021_OT_204SLIPPING,0.23218448907882736,0.28705546,0.8043192266513145
IN_04_NRC_20230124_AD,0.007775359641334438,0.22718121,0.5259808819282025
MN_01_OIB_20210810_CS,0.01471459484098271,0.71477854,0.45644568272235153
LB_36_BAR_20250625_AD_ALL,0.042132038601812666,0.68890774,0.9284207445168018
LB_03_TOL_20250707_CS_1303TO1334,0.10203608593048487,0.037403453,0.7715406716718175
LB_24_LSB_20240918_CS_ALL,0.09188840522671664,0.29698524,0.996767752025617
WH_02_BH3_20240130_AD,0.02348593993469973,0.10798853,0.8520731514154729
MC_05_INN_20251113_CS,0.04061818624799689,0.25726134,0.662389193934345
PH_06_PGR_20251210_CS,0.00011090182577318863,0.24700406,0.9824719547476399
IN_09_CBI_20250312_CS,0.016434483485093902,1.4720968,0.9218417570679963
SL_03_SLH_20220515_CS,0.008193036352549227,0.544673,0.8533797508858515
BH_01_BH1_20251021_AD,0.11849190633873287,0.19925544,0.8555995168019388
IN_10_LFI_20210128_BD,0.025496764617286834,2.3609476,0.9390622696607926
LB_13_ERI_20240904_OT_DISPOSALAREA,0.03903345127580247,0.0714107,0.09237888934673949
SH_12_CBS_20240131_BD,0.057660162582831125,0.31934112,0.9987378200967222
LB_15_VER_20240912_CS_FULLSURVEY,0.12275874341093188,0.19302061,0.4926348692728257
WH_08_BAT_20230124_CS,0.018477894748657037,0.29831216,0.3514344136700619
LB_04_CLE_20250828_CS_000TO025,0.07930243231621784,0.21730988,0.40438965163483376
LB_01_WSH_20240828_OT_STA39TO49,0.002468629072183246,0.37566572,0.17190344046330272
WH_25_ANC_20230530_CS,0.0418445045772068,0.10745267,0.25655390423053115
PH_05_PUS_20250917_CS,7.8359224789186e-05,0.4449975,0.9977916363932064
